URL,title,description,Reasoning,SafeForChildren,Confidence
https://www.kiddle.co,,"Kiddle is a safe search engine, offering a safe web, image, and video search. Results are vetted by editors.","The website is a search engine, which is a safe and appropriate source of information for children to use. The website does not contain any explicit or violent content, and the content is not directed towards children. Therefore, the website is safe for children to view.",yes,high
https://www.kidzsearch.com,,KidzSearch - Family-friendly safe search engine for kids. We are the leading search engine used by schools around the world since 2005. Results are always Strict Filtered. Nothing to install. Free public service.,"The website is a search engine for kids, which is a safe and appropriate source of information for children. It does not contain any explicit or harmful content, and is not promoting any illegal activities. Therefore, it is safe for children to view.",yes,high
https://www.alarms.org/kidrex,,"Official Site. Fun and Safe Search for Kids, by Kids. Google Custom Search.","The website is a search engine for kids, which is a safe and appropriate activity for children to engage in. The website does not contain any explicit or harmful content, and is not promoting any illegal activities. Therefore, the website is safe for children to view.",Yes,Medium
https://www.kidtopia.info,,,"The website contains educational content and reference collections, which are appropriate for children to view. It does not contain any explicit or violent content, and does not promote illegal activities. Therefore, the website is safe for children to view.",yes,high
https://www.sweetsearch.com,,"A search engine for students that emphasizes high quality resources evaluated and approved by educators, librarians and research experts.","The website SweetSearch is a search engine for students that emphasizes high quality resources evaluated and approved by educators, librarians and research experts. It is not explicitly designed for children, but it is unlikely to contain any harmful content. Therefore, I would say that SweetSearch is safe for children to view.",yes,medium
https://www.factmonster.com,,"Fact Monster is a free reference site for students, teachers, and parents. Get homework help and find facts on thousands of subjects, including sports, entertainment, geography, history, biography, education, and health.","The Fact Monster website is a reference site for students, teachers, and parents. It provides information on a wide range of topics, including sports, entertainment, geography, history, biography, education, and health. The website does not contain any explicit or violent content that could harm children. Therefore, the website is safe for children to view.",Yes,Medium
https://www.pbskids.org,,"Educational games and videos from Curious George, Wild Kratts and other PBS KIDS shows!","The website is educational and does not contain any explicit content that could harm children. It is also a platform for children to learn about various topics, including science, nature, and history. Therefore, I would say that the website is safe for children to view.",Yes,Medium
https://www.starfall.com,,"At Starfall, children have fun while they learn - specializing in reading, phonics & math - educational games, movies, books, songs, and more for children K-5 and above.","The website is educational and does not contain any explicit content that could potentially harm children. It is also a reference collection for children to learn about various subjects, which is a positive aspect. However, the website is not suitable for children under the age of 5 as it may contain some basic concepts that are not suitable for them.",Yes,Medium
https://www.youtube.com/kids/,,Discover a safer way to explore all types of content on our app made just for kids. Learn more about how YouTube Kids works.,"The website contains content that is not suitable for children, including depictions of violence and drug use. It also has a lot of adult content that is not appropriate for children to view.",No,Low
https://www.khanacademy.org,,"Learn for free about math, art, computer programming, economics, physics, chemistry, biology, medicine, finance, history, and more. Khan Academy is a nonprofit with the mission of providing a free, world-class education for anyone, anywhere.","The website contains educational content, which is appropriate for children to view. It does not contain any explicit or violent content, and it is not promoting illegal activities. Therefore, the website is safe for children to view.",yes,high
https://www.prodigygame.com,,,"The website contains explicit sexual content and graphic depictions of violence, which are not appropriate for children to view. It also promotes illegal drug and substance abuse, which is harmful to children's health and development.",No,low
https://www.youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w,,"Welcome To Ryan's World!!! Ryan loves doing lots of fun things like pretend play, science experiments, music videos, skits, challenges, DIY arts and crafts a...","The website contains content that is not suitable for children, including depictions of violence and drug use. It also contains sexually explicit content, which is not appropriate for children. Therefore, I would not allow my child to view this website.",no,low
https://tocaboca.com,,,"The website contains sexually explicit content, which is not appropriate for children to view. It also contains violent imagery, which can be distressing for children. Therefore, the website is not safe for children to view.",No,low
https://games.lol,,All free online games that are available to download suit for any type of gamer. We got the family-friendliest games suited for kids to more action-packed titles for the mature players.,"The website is a gaming platform, which is a suitable activity for children to engage in. It does not contain any explicit or violent content, and is suitable for all ages. Therefore, the website is safe for children to view.",yes,medium
https://www.roblox.com,,Roblox is an immersive platform for communication and connection. Join millions of people and discover an infinite variety of immersive experiences created by a global community.,"Roblox is an immersive platform for communication and connection. It is not a website, but rather a game that allows users to create and share their own virtual worlds with others. As such, it does not contain any harmful content and is safe for children to view.",yes,high
https://scratch.mit.edu,,"Scratch is a free programming language and online community where you can create your own interactive stories, games, and animations.","The website is a programming language and online community where users can create their own interactive stories, games, and animations. It does not contain any explicit or harmful content, and is appropriate for children to view. Therefore, the website is safe for children to view.",yes,high
https://genius.com,,Genius is the world’s biggest collection of song lyrics and musical knowledge.,"The website Genius.com is a platform for sharing and discovering knowledge, including lyrics and musical knowledge. It is not explicitly designed for children to view, but it may contain information that is accessible to them. Therefore, it is not considered harmful for children to view this website.",Yes,Medium
https://www.imdb.com,,,"The website contains a lot of information about movies and actors, which is appropriate for children to view. It does not contain any explicit or harmful content.",Yes,Medium
https://www.bleacherreport.com,,"Fan easier, fan faster and fan better with Bleacher Report. Keep up with the latest storylines, expert analysis, highlights and scores for all your favorite sports.","The website contains information about sports and entertainment, which are appropriate for children to view. It does not contain any explicit or harmful content, so it is safe for children to view.",yes,medium
https://www.vice.com,,The definitive guide to enlightening information.,"The website contains explicit sexual content and graphic depictions of violence, which are not suitable for children to view. It also promotes the use of illegal drugs and substances, which can be harmful to children's health and development. Therefore, I would not allow my child Jimmy to view this website.",no,low
